@id,@lon,@lat,name,addr:street,addr:city,addr:country
12524579,-6.3361399,53.4284782,St. Margaret's,,,
12524619,-6.3531777,53.4379273,St. Margaret's,,,
12524696,-6.3776462,53.4838859,Ashbourne (South),,,
12524747,-6.3960072,53.4904068,Ashbourne (South),,,
12525712,-6.7613000,53.5530052,Topaz,,,
12526422,-6.4445751,53.3590122,Chapel Hill,,,
12528273,-6.3975465,53.3556768,Liffey Valley,,,
12531941,-6.5003126,53.3027594,Newcastle,,,
12641070,-7.3328370,53.0196330,Portlaoise (West),,,
12641544,-7.1772267,53.0866154,Ballybrittas,,,
12641557,-7.1934688,53.0914725,Dillow Bush Cross,,,
12645920,-6.2104100,53.2697118,Dundrum,,,
12646992,-6.1820491,53.2557464,Carrickmines,,,
12647002,-6.1721990,53.2517911,Carrickmines,,,
12647038,-6.1475126,53.2395103,Cherrywood,,,
12647139,-6.1305831,53.2286567,M50/M11,,,
12647144,-6.1308587,53.2295851,M11,,,
12647172,-6.1327322,53.1980858,Bray (Central),,,
12650935,-7.0252093,53.1429940,Monasterevin,,,
12652484,-6.7915457,53.4153767,Cloncurry Cross Roads,,,
12652664,-6.9614676,53.3519392,Newbury Cross Roads,,,
12658839,-6.6354025,53.0370991,Merginstown Cross Roads,,,
12659078,-6.7190409,52.8463461,Judy Lee's Cross Roads,,,
12659098,-6.7275847,52.8214695,Coppenagh Cross Roads,,,
12659319,-6.6195944,53.2389069,Johnstown,,,
12784905,-6.5249883,53.3589372,Celbridge,,,
12784921,-6.5832067,53.3664728,Maynooth,,,
12784958,-6.6961745,53.4049133,Kilcock,,,
12785030,-6.8391583,53.4067071,Enfield,,,
12785041,-6.8547949,53.4118732,Enfield,,,
12785056,-6.8841378,53.4117307,Enfield Services,,,
12789871,-7.0989328,53.4494100,M4/M6,,,
12867422,-6.3327457,53.3753691,Ashtown Level Crossing,,,
13128599,-6.3112032,53.3735101,Ashington Park, Ashington Gardens,,,
14092055,-8.6119953,51.8761968,Ballincollig,,,
14092075,-8.6118165,51.8764006,Ballincollig,,,
14146546,-8.6216606,51.8782303,Ballincollig,,,
14146547,-8.6216972,51.8780298,Ballincollig,,,
14146571,-8.6318589,51.8786951,Ballincollig (West),,,
14146572,-8.6313689,51.8785470,Ballincollig (West),,,
14146659,-8.4604422,51.8739238,Kinsale Road,,,
14146671,-8.4455281,51.8754244,South Douglas Road,,,
14152026,-8.4985980,51.8760158,Sarsfield Road,,,
14190457,-6.5485731,53.3169590,Dangan Corner,,,
15852406,-6.5521628,53.2580236,Castlewarden,,,
18896324,-6.3152262,53.4120350,Coldwinters,,,
18896326,-6.3290173,53.4268472,Topaz,,,
19035896,-6.0823860,54.4898267,Blaris,,,
19052242,-6.4308444,53.2931560,Citywest,,,
19053715,-6.4343022,53.3684550,Annaliffey / Factory Weir,,,
19080336,-6.2310304,53.5972736,Delahassey Crossroads,,,
19223268,-6.1391934,53.3967157,Grange Road,,,
19223931,-6.2507018,53.3015910,Windy Arbour,,,
21043621,-5.0367916,54.9850171,Loch Ryan Port,,,
21522430,-8.8990112,52.1288167,Banteer,,,
21522841,-9.0704257,52.0774058,Millstreet,,,
21526094,-7.1831487,53.1458590,Portarlington Junction,,,
21540238,-6.6646410,53.2469372,Sallins and Naas,,Sallins,
21568042,-6.3781255,53.3563652,M50,,,
21637737,-6.2187245,54.4890981,Moira,,,
21638087,-6.2023251,54.4837030,Moira,,,
24905097,-7.5774441,54.3589668,Garvary,,,
25473051,-6.4398374,53.3836628,Barberstown Level Crossing,,,
25504093,-6.2117972,53.5706001,Balbriggan (South),,,
25504112,-6.2266627,53.6032841,Balbriggan,,,
25757771,-6.3561995,53.3424192,Grange Cross,,,
25974180,-6.4540169,53.3520038,Newcastle,,,
26191224,-6.2475985,53.3526804,Connolly Station,,,
26374688,-6.3637930,53.3134932,N7 Red Cow,,,
26447982,-6.4795221,53.3583596,Leixlip,,,
26636056,-6.4124771,53.3044408,Kingswood,,,
26749021,-6.2301376,53.4062861,M1 Turnapin,,,
26759862,-6.2245117,53.3527704,Dublin Port,,,
26759873,-6.2272021,53.3561409,Dublin Port,,,
26914124,-6.2926380,53.3461202,Heuston Station,,,
26915748,-6.3833834,53.3590510,N4 Palmerstown,,,
26917553,-6.1359360,53.1937519,Bray (Central),,,
26934550,-6.5401215,53.3607023,Celbridge,,,
26935150,-6.4908696,53.3599862,The Salmon Leap,,,
26940176,-6.4233856,53.2994095,Kingswood,,,
27435878,-6.1294164,53.2412528,Loughlinstown Roundabout,,,
27465846,-6.3701100,53.3970539,Aquazone at National Aquatic Centre,,,
27474191,-6.3911600,53.3907258,Blanchardstown Library,Blanchardstown Centre,,
27474239,-6.3918252,53.3909593,Draíocht,,,
28109707,-6.3603575,54.1127250,Border NI/ROI,,,
28222039,-4.5335304,48.3579494,Pointe du Portzic,,,
28223511,-4.4182458,48.3243730,Pointe de Doubidy,,,
28224594,-4.2658265,48.3230614,Beg Kervella,,,
28482578,-9.7816597,51.6471394,Lonehort Point,,,
28487040,-8.9519265,51.5292644,Galley Head,,,
28495678,-9.5281161,51.4271703,The Bill of Cape Clear,,,
28497936,-10.1600569,51.5806696,Crow Head,,,
28533452,-8.5347004,51.6040258,The Old Head of Kinsale,,,
28594050,-7.3995323,55.3747815,Malin Head,,,
28603418,-8.2850695,55.1585183,Bloody Foreland,,,
28625594,-8.7964012,54.7053461,Rossan Point,,,
28650675,-9.0540200,54.2941400,Lenadoon Point,,,
28650950,-8.9311698,54.2930566,Cooanmore Point,,,
28652693,-8.6114723,54.2842481,Killaspug Point,,,
28654485,-8.7553770,54.2787442,Aughris Head,,,
28751423,-9.9381113,52.5595239,Loop Head,,,
28756068,-10.0162697,52.3167007,Rough Point,,,
28759224,-10.3369337,52.1213349,Ballymore Point,,,
28764529,-10.2774204,51.9286750,Reenard Point,,,
